ФИО,Год поступления,Форма обучения,Средний балл аттестата,Общий балл,Специальность,Адрес регистрации,Телефон,Математика,Физика,Химия,Биология,История,Обществоведение,Русский язык,Иностранный язык,Информатика
Федоров Олег Викторович,2021,бюджет,8.151072052303158,305.4004751820826,Физика,"г. Гродно, ул. Кирова, д. 14",+375292458591,79.96714153011233,73.61735698828815,69.71532807151038,82.84544784612038,56.48769937914996,56.487945645762295,83.68819223261087,71.51152093729362,70.30525614065049
Сидоров Алексей Васильевич,2021,бюджет,5.8052355583976505,253.6625009168642,Психология,"г. Борисов, ул. Гагарина, д. 78",+375291445199,70.36582307187538,53.01405369644615,63.629434073490515,55.86719755342202,34.12623251230451,69.37712470759027,44.80753319498364,64.71370998892911,46.37963886718184
Егоров Наталья Викторовна,2021,бюджет,7.149967500248068,283.3028921664625,Лингвистика,"г. Молодечно, ул. Гагарина, д. 36",+375291109031,81.98473153382331,56.61335549270196,61.012923070318855,38.62877720679815,69.55617275474818,61.663838845647994,63.490064225776976,78.75698018345672,50.99041965121793
Морозов Юрий Борисович,2021,платное,7.736233483042948,295.27134931442714,Математика,"г. Барановичи, ул. Фрунзе, д. 44",+375292714803,68.98293387770603,93.52278184508938,59.79754162893099,44.13433606566149,72.33817368154783,41.68734525043467,63.132953925071334,55.403298761202244,40.07720926652354
Романов Анастасия Ивановна,2021,бюджет,5.384351813564719,291.3780496431856,Физика,"г. Пинск, ул. Фрунзе, д. 6",+375298707870,82.3846657999541,76.7136828118997,58.265275764176394,55.48344456616067,37.82217014448859,49.20233687407937,53.09041843560319,75.85683339328374,78.43618289568461
Сидоров Валерия Олеговна,2021,бюджет,8.670654152546831,310.5322377596893,Лингвистика,"г. Орша, ул. Фрунзе, д. 81",+375297067228,64.86125954092192,54.22376579375525,49.84616999541062,69.17514433261302,85.30999522495951,73.96920178674299,66.60782476777362,71.90787624148786,64.96895147105346
Петров Борис Юрьевич,2021,бюджет,6.725856294473851,289.06715461118716,Психология,"г. Борисов, ул. Фрунзе, д. 38",+375292338687,70.2082576215471,57.215115350042744,43.40497538990958,63.037933759193294,72.18788733591298,88.56240028570824,58.91984817629499,75.05299346838036,65.42454037571451
Морозов Валерия Максимовна,2021,платное,5.114917302478929,295.051305246914,Химия,"г. Солигорск, ул. Советская, д. 48",+375296960453,78.61395605508415,83.07054849698955,74.64173960890048,90.64643655814007,20.703823438653835,72.32853756562835,61.30570602357257,55.51488974301199,61.37641164803254
Андреев Борис Сергеевич,2021,платное,8.115920919736027,313.5587285836638,Химия,"г. Брест, ул. Гагарина, д. 94",+375295107245,72.80328112162488,65.35668857267619,89.77894044741517,69.81729781726352,47.87259595660218,52.47364434623195,73.73103176553111,64.93126664489526,52.05359694349442
Макаров Олег Олегович,2021,бюджет,7.218495439949824,310.4527325201064,Математика,"г. Борисов, ул. Кирова, д. 42",+375291938483,75.9707754934804,84.68644990532889,49.469203591839715,55.085067801033475,54.118377703017636,38.04727577801822,64.44180415596864,77.6105527217989,60.07670184963691
